Age,City,Economic Status,Profession,Most Used Pokemon Type,Average Pokemon Level,Criminal Record,PokéBall Usage,Win Ratio,Number of Gym Badges,Is Pokemon Champion,Battle Strategy,Number of Migrations,Rare Item Holder,Debt to Kanto,Charity Participation,Team Rocket,Name
34,Lavender Town,Low,Black Market Dealer,Flying,74,0,MasterBall,62,0,False,Defensive,16,True,34749,False,True,Anthony Roberts
31,Cinnabar Island,Middle,Black Market Dealer,Dark,56,1,UltraBall,71,2,False,Aggressive,30,False,33681,True,True,Ryan Wilson
33,Celadon City,High,Daycare Worker,Ghost,21,0,GreatBall,23,3,False,Unpredictable,25,False,93367,True,False,Andrew Sanchez
23,Vermilion City,Middle,Gym Leader Assistant,Fire,65,0,HealBall,41,4,False,Defensive,18,False,89280,True,False,Edward Harris
20,Vermilion City,Low,Champion,Electric,67,0,PokéBall,32,3,False,Unpredictable,23,False,98337,True,False,Ethan Lewis
17,Cerulean City,Low,Rocket Grunt,Rock,44,0,DarkBall,61,4,False,Defensive,9,False,89801,True,False,Brian Moore
54,Saffron City,Low,PokéMart Seller,Ghost,47,0,DuskBall,35,3,False,Unpredictable,9,False,71265,True,False,Daniel Ramirez
65,Cerulean City,Middle,Champion,Dark,75,0,MasterBall,67,4,False,Unpredictable,14,False,30037,True,False,Henry Gonzalez
67,Pallet Town,Middle,Nurse,Rock,59,0,DuskBall,67,2,False,Unpredictable,6,False,85214,True,False,Brian Perez
43,Cinnabar Island,Low,Black Market Dealer,Fire,9,0,DuskBall,45,1,False,Aggressive,21,False,47351,True,False,John Ramirez
35,Pallet Town,Low,Police Officer,Psychic,15,0,GreatBall,42,3,False,Defensive,20,False,2670,True,False,Aaron Sanchez
38,Fuchsia City,Middle,PokéMart Seller,Dragon,40,0,MasterBall,67,4,False,Unpredictable,3,False,39541,True,False,Ethan Rodriguez
39,Fuchsia City,High,Police Officer,Fairy,8,0,PokéBall,55,5,False,Unpredictable,22,False,32108,True,False,Kevin Sanchez
46,Fuchsia City,Middle,Daycare Worker,Fire,46,0,DuskBall,20,0,False,Aggressive,19,False,40077,True,False,Steven Lee
62,Vermilion City,Middle,Champion,Grass,28,0,TimerBall,66,1,False,Aggressive,22,False,10100,True,False,Daniel Lewis
59,Pallet Town,Middle,Researcher,Grass,64,0,DuskBall,30,1,False,Aggressive,8,False,98181,True,False,Anthony Hernández
44,Pallet Town,Low,Casino Worker,Fire,78,0,LuxuryBall,71,5,False,Unpredictable,11,False,92735,True,False,Ryan Johnson
14,Cinnabar Island,High,Police Officer,Bug,99,0,TimerBall,39,3,False,Unpredictable,23,False,20252,True,False,Aaron Harris
58,Saffron City,Low,Police Officer,Fairy,70,0,DuskBall,20,3,False,Defensive,2,False,683,True,False,Jason Jones
40,Pewter City,Low,Breeder,Steel,34,0,HealBall,32,0,False,Unpredictable,3,False,41426,True,False,Henry Young
10,Pallet Town,Low,Underground Battler,Dark,28,0,LuxuryBall,57,0,False,Defensive,12,False,11530,True,False,Adam Lewis
17,Celadon City,Low,Breeder,Electric,41,0,UltraBall,80,2,False,Aggressive,19,False,34167,True,False,Richard Ramirez
23,Saffron City,Middle,Rocket Grunt,Ground,34,0,NetBall,57,0,False,Unpredictable,22,False,46663,True,False,Henry Davis
25,Cinnabar Island,High,Nurse,Poison,95,0,UltraBall,71,6,False,Aggressive,9,False,55042,True,False,Kevin Gonzalez
61,Fuchsia City,Middle,Breeder,Dragon,28,0,UltraBall,82,0,False,Aggressive,8,False,59593,True,False,Jacob Sanchez
19,Pallet Town,Middle,Scientist,Bug,72,0,GreatBall,61,2,False,Defensive,22,False,47250,True,False,Matthew Jackson
63,Viridian City,Low,PokéMart Seller,Water,79,0,UltraBall,59,0,False,Defensive,11,False,67728,True,False,Paul White
23,Vermilion City,Low,Biker,Dragon,91,0,PokéBall,52,4,False,Unpredictable,1,False,72183,True,False,Aaron Lee
45,Saffron City,Low,Fisherman,Flying,20,0,UltraBall,75,8,False,Defensive,23,False,83703,True,False,Samuel Hernández
26,Vermilion City,Middle,Researcher,Flying,97,0,HealBall,69,8,False,Unpredictable,0,False,24299,True,False,Mark García
36,Lavender Town,Middle,Biker,Dragon,73,0,DarkBall,40,2,False,Aggressive,16,False,281586,False,True,William Jackson
30,Pewter City,Low,Black Market Dealer,Grass,34,0,LuxuryBall,46,5,False,Aggressive,7,False,25976,True,False,Brian Lopez
29,Cinnabar Island,High,Biker,Rock,52,0,UltraBall,73,6,False,Aggressive,5,False,1311,True,False,Samuel Walker
44,Cinnabar Island,Low,Rocket Grunt,Ice,37,0,DarkBall,23,1,False,Defensive,19,False,28505,True,False,John Williams
49,Pallet Town,Middle,PokéMart Seller,Ice,100,0,LuxuryBall,34,0,False,Defensive,9,False,29333,True,False,David Thomas
70,Vermilion City,Middle,PokéMart Seller,Ice,10,0,TimerBall,39,3,False,Unpredictable,4,False,61974,True,False,Ethan Harris
58,Cerulean City,Middle,PokéMart Seller,Steel,25,0,HealBall,64,8,False,Defensive,17,False,97356,True,False,Aaron Hernández
62,Cerulean City,Middle,Fisherman,Rock,41,0,HealBall,43,1,False,Unpredictable,15,False,92693,True,False,Edward Johnson
39,Pewter City,Middle,Gym Leader Assistant,Electric,35,0,PokéBall,78,0,False,Defensive,0,False,56399,True,False,Joshua Harris
46,Cinnabar Island,Middle,Daycare Worker,Water,46,0,MasterBall,36,3,False,Unpredictable,2,False,85794,True,False,Aaron Lewis
57,Cinnabar Island,High,Gym Leader Assistant,Dark,55,0,GreatBall,58,1,False,Defensive,1,False,79103,True,False,Ethan Thomas
58,Fuchsia City,Low,Police Officer,Poison,51,0,MasterBall,61,4,False,Aggressive,4,False,155543,True,True,William Jackson
66,Saffron City,Middle,Elite Trainer,Poison,71,0,GreatBall,74,1,False,Defensive,2,False,91011,True,False,Anthony Ramirez
62,Celadon City,Low,Gym Leader Assistant,Ghost,100,0,DarkBall,22,1,False,Aggressive,2,False,95523,True,False,Samuel Lewis
31,Lavender Town,High,Underground Battler,Rock,89,0,HealBall,20,1,False,Defensive,15,False,7778,True,False,George Lewis
29,Pewter City,Middle,Champion,Ghost,100,0,DarkBall,42,2,False,Aggressive,11,False,68672,True,False,Steven Hernández
39,Cerulean City,Middle,Fisherman,Bug,24,0,UltraBall,83,2,False,Aggressive,23,False,18446,True,False,Christopher Lewis
22,Viridian City,High,Researcher,Normal,63,0,MasterBall,76,0,False,Aggressive,15,False,78379,True,False,Daniel Ramirez
16,Saffron City,Low,PokéMart Seller,Bug,76,0,PokéBall,35,3,False,Defensive,15,False,79070,True,False,Jacob Smith
62,Cerulean City,Low,Breeder,Rock,63,0,DuskBall,20,1,False,Aggressive,12,False,99896,True,False,Andrew Ramirez
59,Celadon City,Low,Researcher,Fairy,53,0,NetBall,84,5,False,Defensive,12,False,73188,True,False,Steven Martin
18,Pewter City,Middle,Fisherman,Fire,6,0,UltraBall,46,0,False,Unpredictable,22,False,77830,True,False,David Thomas
66,Cerulean City,Middle,Champion,Poison,68,0,DarkBall,31,2,False,Aggressive,3,False,57371,True,False,Henry García
24,Lavender Town,Middle,Casino Worker,Electric,95,0,NetBall,67,0,False,Defensive,29,False,43200,True,True,David Moore
56,Lavender Town,Low,Researcher,Steel,93,0,HealBall,44,3,False,Defensive,15,False,1314,True,False,Andrew Ramirez
69,Viridian City,Low,Fisherman,Ground,61,0,HealBall,40,1,False,Aggressive,15,False,7097,True,False,Ethan Miller
45,Saffron City,Low,PokéMart Seller,Poison,30,0,UltraBall,31,2,False,Unpredictable,5,True,338769,True,True,William Lopez
10,Celadon City,Low,Elite Trainer,Grass,81,0,LuxuryBall,65,3,False,Defensive,4,False,26759,True,False,Brian Ramirez
24,Celadon City,Middle,Daycare Worker,Rock,89,0,DarkBall,48,0,False,Defensive,9,False,18692,True,False,George Harris
31,Cerulean City,Middle,Gym Leader Assistant,Poison,59,0,MasterBall,73,6,True,Unpredictable,12,False,175859,False,True,Steven Johnson
70,Lavender Town,Middle,Daycare Worker,Flying,100,0,PokéBall,22,2,False,Unpredictable,24,False,13485,True,False,Robert Rodriguez
30,Celadon City,High,PokéMart Seller,Rock,41,0,TimerBall,46,3,False,Unpredictable,4,False,74961,True,False,Matthew Brown
42,Cinnabar Island,Middle,Daycare Worker,Flying,64,0,HealBall,31,4,False,Unpredictable,25,False,28964,True,False,Joseph Thomas
28,Cinnabar Island,Low,Biker,Dark,94,0,HealBall,87,2,False,Unpredictable,9,False,233220,True,True,Matthew Williams
15,Viridian City,Low,Elite Trainer,Ice,28,0,TimerBall,59,4,False,Unpredictable,11,False,96204,True,False,Daniel Jackson
57,Lavender Town,Middle,Gym Leader Assistant,Fire,15,0,PokéBall,20,6,False,Aggressive,12,False,41618,True,False,Brian Brown
34,Fuchsia City,Middle,Rocket Grunt,Poison,77,0,DuskBall,54,0,False,Defensive,25,False,36934,True,False,Adam Moore
47,Pewter City,Low,Biker,Dark,98,0,LuxuryBall,58,4,False,Aggressive,13,False,70700,True,False,Joshua Williams
14,Viridian City,Middle,PokéMart Seller,Rock,86,0,NetBall,84,0,False,Defensive,18,False,77356,True,False,Jason Rodriguez
15,Vermilion City,Middle,Scientist,Steel,20,0,TimerBall,50,0,False,Defensive,16,False,94586,True,False,David Rodriguez
30,Fuchsia City,High,Rocket Grunt,Fighting,92,0,TimerBall,48,7,False,Defensive,0,False,52159,True,False,Joshua Martínez
35,Cinnabar Island,Middle,Biker,Flying,9,0,UltraBall,51,4,False,Unpredictable,21,False,48689,True,False,Adam Johnson
50,Pewter City,Low,Biker,Dark,54,0,NetBall,70,6,False,Aggressive,0,False,33838,True,False,Mark Perez
17,Pallet Town,High,Police Officer,Water,86,0,MasterBall,32,3,False,Unpredictable,24,False,80966,True,False,Samuel Smith
56,Fuchsia City,Middle,Breeder,Dragon,34,0,DarkBall,43,3,False,Unpredictable,11,False,74471,True,False,Jacob Jackson
64,Lavender Town,Middle,Police Officer,Dark,37,0,GreatBall,77,1,False,Defensive,12,False,46731,True,False,Brian Wilson
64,Viridian City,Middle,Researcher,Steel,11,0,DarkBall,51,4,False,Defensive,21,False,94507,True,False,James Harris
34,Pewter City,Low,Police Officer,Electric,21,0,PokéBall,79,3,False,Unpredictable,7,False,85942,True,False,Jacob Clark
45,Viridian City,Middle,Fisherman,Flying,78,0,MasterBall,37,6,False,Aggressive,18,False,81775,True,False,Ryan Wilson
58,Lavender Town,High,Gym Leader Assistant,Fairy,46,0,DuskBall,37,0,False,Aggressive,15,False,4800,True,False,Matthew Walker
52,Pallet Town,Low,Biker,Electric,18,0,UltraBall,35,1,False,Defensive,15,False,21806,True,False,David Anderson
18,Vermilion City,Middle,Gym Leader Assistant,Fairy,12,0,PokéBall,60,2,False,Aggressive,1,False,62190,True,False,Edward Thomas
52,Cerulean City,High,Daycare Worker,Rock,66,0,LuxuryBall,37,4,False,Defensive,18,False,74823,True,False,Henry Jones
21,Vermilion City,Low,Champion,Electric,100,0,MasterBall,77,0,False,Defensive,5,False,50166,True,False,Christopher Davis
61,Vermilion City,Low,Rocket Grunt,Fire,50,0,LuxuryBall,78,0,False,Unpredictable,22,False,52370,True,False,Adam Thomas
55,Pewter City,Low,Daycare Worker,Dark,18,0,MasterBall,78,4,False,Aggressive,11,False,85553,True,False,Michael Davis
54,Saffron City,Low,Police Officer,Fighting,49,0,LuxuryBall,31,3,False,Aggressive,9,False,97920,True,False,Steven Harris
32,Fuchsia City,Low,Elite Trainer,Flying,49,1,NetBall,31,0,False,Aggressive,10,False,256934,False,True,Samuel Martínez
48,Cerulean City,Low,Underground Battler,Ghost,98,0,HealBall,57,3,False,Defensive,4,False,48058,True,False,Kevin Anderson
68,Vermilion City,High,Scientist,Flying,77,0,DuskBall,82,5,False,Defensive,9,False,8673,True,False,Aaron Hernández
35,Vermilion City,Middle,Fisherman,Flying,42,0,HealBall,55,2,False,Unpredictable,22,False,86047,True,False,Joshua Williams
18,Pewter City,High,Black Market Dealer,Grass,94,0,NetBall,40,2,False,Unpredictable,9,False,49955,True,False,Matthew White
45,Pallet Town,Middle,Elite Trainer,Grass,50,0,HealBall,50,3,False,Aggressive,19,False,94595,True,False,James Brown
67,Fuchsia City,Middle,Scientist,Fire,46,1,GreatBall,34,0,False,Aggressive,30,False,40208,True,True,William Williams
57,Celadon City,Low,Underground Battler,Steel,24,0,DarkBall,56,4,False,Unpredictable,6,False,9420,True,False,Kevin Roberts
17,Saffron City,Middle,Rocket Grunt,Bug,23,0,UltraBall,23,4,False,Defensive,4,False,85987,True,False,Michael Rodriguez
65,Lavender Town,Low,Researcher,Fairy,79,0,MasterBall,46,1,False,Defensive,18,False,70273,True,False,Andrew Johnson
21,Vermilion City,High,Daycare Worker,Psychic,92,0,PokéBall,40,3,False,Defensive,18,False,55129,True,False,Kevin Wilson
54,Fuchsia City,High,Elite Trainer,Steel,79,0,UltraBall,50,0,False,Defensive,1,False,10460,True,False,Matthew García
39,Celadon City,Middle,Nurse,Ice,96,1,GreatBall,69,0,False,Unpredictable,16,False,311148,False,True,Adam Brown
52,Cerulean City,Low,PokéMart Seller,Fire,91,0,NetBall,65,2,False,Aggressive,22,False,33576,True,False,Steven Jones
52,Cerulean City,High,Casino Worker,Water,64,0,TimerBall,69,1,False,Aggressive,9,False,64339,True,False,Daniel Sanchez
11,Lavender Town,Middle,Rocket Grunt,Ghost,17,0,NetBall,74,3,False,Defensive,17,False,37706,True,False,Charles Roberts
35,Fuchsia City,Low,PokéMart Seller,Steel,18,0,DarkBall,45,2,False,Unpredictable,7,False,82914,True,False,Aaron Jones
54,Vermilion City,Middle,PokéMart Seller,Flying,91,0,GreatBall,78,1,False,Aggressive,21,False,7064,True,False,Brian Young
32,Viridian City,Low,Biker,Fire,57,0,LuxuryBall,60,4,False,Aggressive,19,False,97992,True,False,Henry Hernández
38,Fuchsia City,Low,Daycare Worker,Rock,10,0,MasterBall,69,1,False,Defensive,6,False,35023,True,False,Edward Thomas
37,Celadon City,Middle,Casino Worker,Dark,47,0,HealBall,66,3,False,Aggressive,15,False,3081,True,False,Christopher Sanchez
65,Lavender Town,Middle,Nurse,Dark,36,0,GreatBall,71,1,False,Aggressive,7,False,67378,True,False,Steven Walker
31,Saffron City,Low,PokéMart Seller,Flying,63,0,DuskBall,72,1,False,Unpredictable,13,False,37768,True,False,George Gonzalez
52,Cinnabar Island,Low,Gym Leader Assistant,Ground,9,0,MasterBall,64,2,False,Unpredictable,23,False,15477,True,False,Thomas Walker
38,Saffron City,Middle,Rocket Grunt,Steel,92,0,LuxuryBall,50,5,False,Unpredictable,23,False,42078,True,False,John Lewis
26,Pallet Town,Low,Gym Leader Assistant,Dragon,89,0,PokéBall,31,2,False,Unpredictable,8,False,69525,True,False,Mark Roberts
50,Lavender Town,High,Rocket Grunt,Steel,7,0,DuskBall,22,1,False,Unpredictable,2,False,71900,True,False,Steven Lewis
31,Vermilion City,Middle,Rocket Grunt,Ground,53,0,UltraBall,24,4,False,Defensive,19,False,66027,True,False,Joseph Walker
14,Vermilion City,Middle,Daycare Worker,Ice,6,0,DuskBall,57,4,False,Aggressive,17,False,92737,True,False,Daniel Wilson
33,Celadon City,Middle,Daycare Worker,Flying,90,0,GreatBall,22,5,False,Aggressive,15,False,21358,True,False,Charles Lewis
20,Viridian City,High,Breeder,Dark,79,0,LuxuryBall,47,5,False,Aggressive,5,False,7959,True,False,Aaron Roberts
29,Viridian City,Middle,Biker,Rock,90,0,NetBall,52,5,False,Unpredictable,5,False,32729,True,False,Jason Martin
25,Pallet Town,Low,Police Officer,Flying,32,0,GreatBall,36,3,False,Aggressive,3,False,95901,True,False,Christopher Ramirez
67,Pewter City,Middle,PokéMart Seller,Water,74,0,HealBall,65,3,False,Aggressive,10,False,33784,True,False,Brian Johnson
14,Pewter City,Middle,Biker,Ghost,90,0,NetBall,50,0,False,Unpredictable,20,False,37220,True,False,Charles Johnson
55,Cerulean City,Middle,Elite Trainer,Water,32,0,GreatBall,63,2,False,Aggressive,1,False,18198,True,False,George Wilson
51,Saffron City,High,Casino Worker,Ground,25,0,PokéBall,36,2,False,Defensive,12,False,96379,True,False,Ryan Taylor
60,Vermilion City,Middle,Researcher,Grass,17,0,DuskBall,70,1,False,Defensive,6,False,28316,False,True,Steven Brown
52,Pewter City,Middle,Underground Battler,Rock,27,0,LuxuryBall,85,3,False,Defensive,3,True,230806,True,True,Thomas Davis
26,Vermilion City,Low,Champion,Electric,40,0,PokéBall,74,1,False,Defensive,3,False,87935,True,False,Michael Miller
29,Fuchsia City,Low,Casino Worker,Electric,62,0,DuskBall,76,2,False,Defensive,3,False,54216,True,False,Charles Jones
65,Fuchsia City,Low,Scientist,Dark,85,0,NetBall,53,3,False,Unpredictable,21,False,64739,True,False,Brian Harris
33,Saffron City,Middle,Champion,Normal,51,0,UltraBall,45,2,False,Unpredictable,4,False,28649,True,False,David Moore
25,Cerulean City,Low,Biker,Poison,84,0,UltraBall,33,0,False,Defensive,24,False,18714,True,False,Matthew Johnson
62,Cerulean City,High,Biker,Psychic,33,0,HealBall,57,0,False,Aggressive,10,False,65255,True,False,Michael García
47,Vermilion City,High,Breeder,Dark,83,0,NetBall,27,2,False,Defensive,3,False,57812,True,False,Michael Wilson
67,Pallet Town,Low,Black Market Dealer,Poison,27,0,HealBall,25,0,False,Unpredictable,19,False,88416,True,False,Andrew White
57,Cerulean City,Middle,Gym Leader Assistant,Ghost,8,0,MasterBall,45,3,False,Unpredictable,5,False,571,True,False,Mark Jones
43,Cinnabar Island,Middle,Scientist,Steel,8,0,GreatBall,38,3,False,Aggressive,3,False,11455,True,False,David Miller
48,Viridian City,Low,Scientist,Water,64,0,NetBall,36,7,False,Unpredictable,4,False,14423,True,False,Joshua Brown
15,Vermilion City,Low,Police Officer,Fire,7,0,MasterBall,44,0,False,Aggressive,21,False,61492,True,False,Edward Young
24,Pallet Town,Middle,Underground Battler,Poison,66,0,UltraBall,54,0,False,Unpredictable,1,False,27333,True,False,Matthew Lewis
24,Lavender Town,Low,Breeder,Fighting,82,0,PokéBall,46,1,False,Aggressive,0,False,89916,True,False,Anthony Walker
20,Pewter City,High,PokéMart Seller,Dark,96,0,GreatBall,31,3,False,Unpredictable,0,False,7950,True,False,Ryan Anderson
60,Saffron City,Low,Police Officer,Ghost,6,0,DuskBall,72,3,False,Unpredictable,3,False,38821,True,False,Paul Jackson
67,Pallet Town,Low,Daycare Worker,Flying,92,1,TimerBall,53,7,False,Defensive,12,True,397474,False,True,James Gonzalez
38,Cinnabar Island,Middle,Underground Battler,Fire,35,0,TimerBall,58,0,False,Unpredictable,12,False,9845,True,False,Aaron Thomas
40,Viridian City,Low,Daycare Worker,Dragon,12,0,HealBall,60,0,False,Unpredictable,10,False,23457,True,False,Andrew García
52,Celadon City,Low,Underground Battler,Ground,12,0,DarkBall,43,3,False,Aggressive,4,False,72023,True,False,Daniel Perez
36,Viridian City,Middle,PokéMart Seller,Ice,94,0,NetBall,27,1,False,Aggressive,6,False,20309,True,False,Edward Sanchez
63,Pallet Town,High,Casino Worker,Fighting,17,1,MasterBall,41,0,False,Unpredictable,4,True,281200,False,True,Anthony White
24,Cinnabar Island,Middle,Underground Battler,Flying,80,0,NetBall,38,1,False,Unpredictable,12,False,22170,True,False,James Lewis
21,Pallet Town,Middle,Casino Worker,Dark,51,0,TimerBall,29,3,False,Defensive,4,False,70412,True,False,Christopher Taylor
34,Viridian City,Low,Fisherman,Fighting,24,0,MasterBall,24,4,False,Unpredictable,12,False,70743,True,False,Joseph Roberts
10,Cerulean City,Low,Daycare Worker,Psychic,18,0,PokéBall,27,3,False,Aggressive,6,False,8252,True,False,Brian Sanchez
41,Saffron City,Middle,Fisherman,Poison,55,0,PokéBall,46,3,False,Defensive,3,False,92404,True,False,George Anderson
20,Vermilion City,High,Nurse,Steel,85,0,GreatBall,32,0,False,Aggressive,17,False,16560,True,False,Ryan Young
46,Pewter City,Middle,Breeder,Poison,72,0,DuskBall,53,5,False,Aggressive,11,False,86791,True,False,Ryan Ramirez
26,Lavender Town,Low,PokéMart Seller,Fighting,18,0,UltraBall,35,2,False,Defensive,17,False,12652,True,False,Henry Moore
32,Cinnabar Island,High,Daycare Worker,Psychic,68,0,GreatBall,78,0,False,Aggressive,18,False,31956,True,False,Steven Lopez
35,Viridian City,High,Rocket Grunt,Ghost,35,0,PokéBall,47,0,False,Aggressive,12,False,9639,True,False,Richard Lopez
45,Fuchsia City,Middle,Biker,Steel,81,1,PokéBall,63,0,False,Unpredictable,24,True,260755,False,True,Michael Young
38,Pewter City,Low,Researcher,Flying,44,0,TimerBall,68,2,False,Unpredictable,0,False,48174,True,False,Ethan García
46,Viridian City,Middle,Nurse,Psychic,34,0,PokéBall,50,6,False,Unpredictable,9,False,38754,True,False,Charles Johnson
70,Pallet Town,Low,Black Market Dealer,Fairy,84,0,MasterBall,37,0,False,Aggressive,7,False,95195,True,False,Joshua Miller
15,Lavender Town,Low,Breeder,Fire,85,0,NetBall,31,2,False,Defensive,1,False,63539,True,False,Joshua Martin
11,Cerulean City,Middle,Breeder,Dragon,85,0,NetBall,72,1,False,Aggressive,19,False,11219,True,False,Jason García
37,Pewter City,Middle,Daycare Worker,Steel,99,0,TimerBall,24,0,False,Aggressive,2,False,71539,True,False,Thomas Martin
10,Cerulean City,Low,Elite Trainer,Flying,59,0,MasterBall,50,0,False,Aggressive,0,False,49604,True,False,Joseph White
11,Lavender Town,Low,Nurse,Normal,92,0,GreatBall,73,0,False,Defensive,2,False,32846,True,False,Joshua White
21,Celadon City,Low,Breeder,Water,27,0,DarkBall,35,0,False,Unpredictable,21,False,65351,True,False,Anthony Clark
42,Lavender Town,Middle,Gym Leader Assistant,Ground,90,0,LuxuryBall,56,4,False,Unpredictable,16,False,92878,True,False,David Gonzalez
46,Pallet Town,Low,Biker,Rock,19,0,DarkBall,42,0,False,Defensive,10,False,10677,True,False,Joseph García
60,Lavender Town,High,Researcher,Grass,83,0,HealBall,53,0,False,Defensive,25,False,86095,True,False,Brian Gonzalez
32,Viridian City,Low,Breeder,Poison,8,0,NetBall,53,1,False,Defensive,1,False,10294,True,False,Richard Martínez
57,Saffron City,High,Police Officer,Flying,60,0,DuskBall,60,4,False,Unpredictable,13,False,75397,True,False,Richard Moore
37,Pallet Town,Low,Police Officer,Poison,77,0,GreatBall,52,0,False,Unpredictable,16,False,60816,True,False,Aaron Lopez
54,Vermilion City,Low,Elite Trainer,Ground,30,0,LuxuryBall,44,1,False,Aggressive,9,False,55496,True,False,Brian Davis
56,Celadon City,High,Breeder,Rock,14,0,GreatBall,74,0,False,Defensive,19,True,218101,False,True,Andrew Johnson
51,Cinnabar Island,Middle,PokéMart Seller,Dark,76,0,HealBall,24,5,False,Unpredictable,18,False,85190,True,False,Adam Roberts
55,Viridian City,Middle,Elite Trainer,Fire,28,0,HealBall,33,0,False,Aggressive,10,False,5360,True,False,Michael Perez
56,Celadon City,Middle,Underground Battler,Ghost,87,0,TimerBall,32,0,False,Aggressive,24,False,15074,True,False,Charles Roberts
15,Vermilion City,Middle,Elite Trainer,Steel,41,0,PokéBall,22,1,False,Defensive,13,False,6309,True,False,Christopher Roberts
59,Lavender Town,Low,Researcher,Grass,93,0,TimerBall,52,1,False,Unpredictable,19,False,79743,True,False,Robert Jackson
17,Viridian City,Low,Daycare Worker,Steel,15,0,UltraBall,48,2,False,Defensive,11,False,9019,True,False,Christopher Hernández
60,Celadon City,Low,Nurse,Fighting,73,0,MasterBall,69,1,False,Aggressive,24,False,85895,True,False,Jacob Hernández
41,Vermilion City,Low,Breeder,Electric,38,0,GreatBall,77,4,False,Defensive,10,False,45860,True,False,Brian Johnson
46,Cinnabar Island,Low,Nurse,Dark,34,0,DarkBall,63,3,False,Aggressive,8,False,14816,True,False,Charles Thomas
37,Fuchsia City,High,Rocket Grunt,Grass,72,0,TimerBall,84,4,False,Defensive,15,False,60090,True,False,George Gonzalez
61,Celadon City,Middle,Casino Worker,Water,22,0,HealBall,85,1,False,Defensive,0,False,17633,True,False,Matthew Lopez
42,Pewter City,High,Casino Worker,Water,18,0,GreatBall,76,1,False,Defensive,14,False,16336,True,False,William Clark
23,Cinnabar Island,Middle,Champion,Grass,9,0,LuxuryBall,31,1,False,Unpredictable,5,False,17047,True,False,George White
44,Pallet Town,Low,Scientist,Dark,12,0,GreatBall,77,0,False,Defensive,24,False,42980,True,False,Steven Harris
18,Fuchsia City,Low,Breeder,Fairy,88,0,MasterBall,51,2,False,Aggressive,10,False,46300,True,False,Mark Moore
10,Lavender Town,Low,Elite Trainer,Ice,86,0,LuxuryBall,85,6,False,Aggressive,24,False,95099,True,False,Henry Anderson
23,Cinnabar Island,Middle,Nurse,Fire,8,0,DuskBall,73,3,False,Unpredictable,6,False,69890,True,False,Joshua Martínez
52,Cerulean City,Low,Researcher,Rock,71,0,PokéBall,30,6,False,Unpredictable,19,False,38475,True,False,Robert Smith
28,Fuchsia City,Middle,Gym Leader Assistant,Psychic,59,0,NetBall,26,0,False,Unpredictable,6,False,51568,True,False,Paul Williams
38,Pallet Town,Low,Daycare Worker,Dragon,78,1,NetBall,68,0,False,Aggressive,25,False,321486,True,True,Daniel Wilson
63,Pallet Town,Low,Daycare Worker,Fighting,29,0,DarkBall,30,5,False,Defensive,1,False,75036,True,False,Joseph Moore
24,Viridian City,Low,Nurse,Steel,6,0,UltraBall,29,0,False,Defensive,8,False,60700,True,False,Paul Perez
16,Fuchsia City,Middle,Elite Trainer,Bug,59,0,MasterBall,34,1,False,Aggressive,14,False,24687,True,False,Ryan Gonzalez
45,Vermilion City,Low,Underground Battler,Grass,68,0,GreatBall,22,5,False,Defensive,11,False,89954,True,False,Anthony Lee
10,Lavender Town,Middle,Gym Leader Assistant,Poison,79,0,LuxuryBall,29,1,False,Unpredictable,0,False,19512,True,False,Ethan Williams
41,Celadon City,Middle,Gym Leader Assistant,Ground,79,0,TimerBall,45,3,False,Defensive,23,False,10838,True,False,Mark Jackson
41,Fuchsia City,Middle,Casino Worker,Steel,31,0,MasterBall,44,1,False,Unpredictable,23,False,48527,True,False,Richard Clark
48,Lavender Town,Low,Underground Battler,Grass,75,0,PokéBall,34,2,False,Defensive,16,False,14246,True,False,Adam Young
30,Fuchsia City,Low,Biker,Water,21,0,HealBall,83,0,False,Defensive,16,False,28656,True,False,Joshua García
28,Pallet Town,High,Daycare Worker,Bug,19,0,MasterBall,37,3,False,Aggressive,24,False,82436,True,False,Steven Clark
41,Pallet Town,Middle,Underground Battler,Water,99,0,TimerBall,23,2,False,Defensive,4,False,22989,True,False,Brian Jones
26,Viridian City,Low,Elite Trainer,Dark,84,0,DuskBall,74,2,False,Aggressive,12,False,86536,True,False,Brian Sanchez
13,Fuchsia City,Middle,Gym Leader Assistant,Grass,62,0,DarkBall,33,6,False,Defensive,23,True,98679,False,True,William Johnson
37,Celadon City,Middle,Nurse,Ground,46,0,NetBall,59,1,False,Defensive,17,False,138500,False,True,Joseph Wilson
65,Viridian City,Middle,Breeder,Steel,16,0,DarkBall,39,3,False,Defensive,16,False,8312,True,False,Brian Ramirez
27,Lavender Town,Middle,Nurse,Psychic,69,0,DuskBall,79,1,False,Unpredictable,22,False,390,True,False,Henry Moore
32,Cerulean City,Middle,PokéMart Seller,Grass,40,0,UltraBall,44,3,False,Defensive,15,False,21129,True,False,Brian Jones
36,Saffron City,Low,Champion,Flying,61,0,GreatBall,40,3,False,Unpredictable,6,False,62673,True,False,Daniel Smith
48,Vermilion City,Low,Underground Battler,Bug,7,0,PokéBall,48,4,False,Defensive,7,False,67935,True,False,George Ramirez
42,Cerulean City,Middle,Daycare Worker,Bug,61,0,DuskBall,44,4,False,Defensive,20,False,22260,True,False,Paul Williams
